index,time,phase,station,probability
2024000458,2024-04-17 08:12:53.810,P,BOJS,1.0
2024000458,2024-04-17 08:13:02.530,S,SAVD,1.0
2024000462,2024-04-17 19:03:43.490,P,RIY,1.0
2024000462,2024-04-17 19:03:46.420,S,RIY,1.0
2024000462,2024-04-17 19:03:50.950,P,SAVD,1.0
2024000462,2024-04-17 19:03:51.930,P,BOJS,1.0
2024000462,2024-04-17 19:04:00.200,S,SAVD,1.0
2024000462,2024-04-17 19:04:00.250,P,DOBS,1.0
2024000463,2024-04-17 19:17:27.350,P,RIY,1.0
2024000463,2024-04-17 19:17:29.980,S,RIY,1.0
2024000465,2024-04-17 23:27:25.600,P,RIY,1.0
2024000465,2024-04-17 23:27:28.440,S,RIY,1.0
2024000466,2024-04-18 00:37:31.360,P,RIY,1.0
2024000466,2024-04-18 00:37:34.200,S,RIY,1.0
2024000466,2024-04-18 00:37:38.890,P,SAVD,1.0
2024000466,2024-04-18 00:37:39.000,P,BOJS,1.0
2024000466,2024-04-18 00:37:48.070,P,DOBS,1.0
2024000466,2024-04-18 00:37:48.330,S,SAVD,1.0
2024000466,2024-04-18 00:37:49.210,S,BOJS,1.0
2024000473,2024-04-18 20:30:12.720,P,RIY,1.0
2024000473,2024-04-18 20:30:16.570,S,RIY,1.0
2024000473,2024-04-18 20:30:16.820,P,REP0,1.0
2024000473,2024-04-18 20:30:19.330,P,BOJS,1.0
2024000473,2024-04-18 20:30:24.320,S,REP0,1.0
2024000473,2024-04-18 20:30:28.000,S,BOJS,1.0
2024000478,2024-04-19 09:52:23.080,P,RIY,1.0
2024000478,2024-04-19 09:52:25.980,S,RIY,1.0
2024000478,2024-04-19 09:52:28.100,P,REP0,1.0
2024000478,2024-04-19 09:52:31.820,P,BOJS,1.0
2024000478,2024-04-19 09:52:35.500,S,REP0,1.0
2024000487,2024-04-21 10:24:16.620,P,RIY,1.0
2024000487,2024-04-21 10:24:19.380,S,RIY,1.0
2024000487,2024-04-21 10:24:33.050,P,DOBS,1.0
2024000489,2024-04-21 16:49:37.300,P,SAVD,1.0
2024000489,2024-04-21 16:49:41.650,S,SAVD,1.0
2024000489,2024-04-21 16:49:43.720,P,REP0,1.0
2024000489,2024-04-21 16:49:52.380,S,REP0,1.0
2024000490,2024-04-21 22:17:37.280,P,RIY,1.0
2024000490,2024-04-21 22:17:40.190,S,RIY,1.0
2024000490,2024-04-21 22:17:42.320,P,REP0,1.0
2024000490,2024-04-21 22:17:44.770,P,SAVD,1.0
2024000490,2024-04-21 22:17:46.040,P,BOJS,1.0
2024000490,2024-04-21 22:17:49.700,S,REP0,1.0
2024000490,2024-04-21 22:17:54.230,S,SAVD,1.0
2024000490,2024-04-21 22:17:55.300,S,BOJS,1.0
2024000492,2024-04-22 00:26:34.980,P,DOBS,1.0
2024000492,2024-04-22 00:26:35.210,P,BOJS,1.0
2024000492,2024-04-22 00:26:48.670,S,BOJS,1.0
2024000501,2024-04-23 21:40:13.010,P,A302,1.0
2024000501,2024-04-23 21:40:15.240,S,A302,1.0
2024000513,2024-05-01 15:49:24.910,P,FUOR,1.0
2024000513,2024-05-01 15:49:30.010,P,DAVO,1.0
2024000513,2024-05-01 15:49:30.980,P,TUE,1.0
2024000513,2024-05-01 15:49:31.700,P,MUGI,1.0
2024000513,2024-05-01 15:49:36.370,S,FUOR,1.0
2024000513,2024-05-01 15:49:44.970,S,DAVO,1.0
2024000513,2024-05-01 15:49:47.080,S,TUE,1.0
2024000518,2024-05-03 00:31:44.860,P,SAVD,1.0
2024000526,2024-05-07 03:17:05.930,P,LMD,1.0
2024000534,2024-05-11 00:12:20.030,P,SAVD,1.0
2024000534,2024-05-11 00:12:28.790,P,FUOR,1.0
2024000535,2024-05-11 00:34:34.900,P,SAVD,1.0
2024000535,2024-05-11 00:34:43.700,P,FUOR,1.0
2024000536,2024-05-11 12:06:09.000,P,FUOR,1.0
2024000547,2024-05-12 22:42:08.570,P,SAVD,1.0
2024000549,2024-05-13 17:31:19.010,P,FUOR,1.0
2024000549,2024-05-13 17:31:28.180,S,FUOR,1.0
2024000551,2024-05-13 19:58:07.760,P,SAVD,1.0
2024000551,2024-05-13 19:58:15.940,S,SAVD,1.0
2024000552,2024-05-13 20:50:25.980,P,MUGI,1.0
2024000552,2024-05-13 20:50:26.280,P,FUOR,1.0
2024000552,2024-05-13 20:50:28.450,P,VLC,1.0
2024000552,2024-05-13 20:50:28.570,P,VDL,1.0
2024000552,2024-05-13 20:50:29.000,P,TUE,1.0
2024000552,2024-05-13 20:50:29.690,P,LMD,1.0
2024000552,2024-05-13 20:50:30.510,P,DAVO,1.0
2024000574,2024-05-22 17:27:55.710,P,FUOR,1.0
2024000574,2024-05-22 17:27:59.320,S,FUOR,1.0
2024000574,2024-05-22 17:28:00.150,P,VDL,1.0
2024000574,2024-05-22 17:28:00.370,P,DAVO,1.0
2024000574,2024-05-22 17:28:01.620,P,TUE,1.0
2024000574,2024-05-22 17:28:07.450,S,DAVO,1.0
2024000574,2024-05-22 17:28:09.930,S,TUE,1.0
2024000578,2024-05-23 00:54:49.840,P,FUOR,1.0
2024000578,2024-05-23 00:54:52.100,S,FUOR,1.0
2024000578,2024-05-23 00:54:55.340,P,DAVO,1.0
2024000578,2024-05-23 00:55:01.440,S,DAVO,1.0
2024000603,2024-05-28 01:34:26.270,P,SAVD,1.0
2024000603,2024-05-28 01:34:31.410,S,SAVD,1.0
2024000604,2024-05-28 11:05:57.460,P,LMD,1.0
2024000604,2024-05-28 11:06:10.730,S,LMD,1.0
2024000615,2024-05-30 06:29:51.130,P,RIY,1.0
2024000615,2024-05-30 06:29:56.060,S,RIY,1.0
2024000615,2024-05-30 06:29:56.080,P,BOJS,1.0
2024000615,2024-05-30 06:30:04.000,S,BOJS,1.0
2024000617,2024-05-30 13:10:30.590,P,RIY,1.0
2024000617,2024-05-30 13:10:34.990,P,BOJS,1.0
2024000617,2024-05-30 13:10:35.580,S,RIY,1.0
2024000617,2024-05-30 13:10:43.330,S,BOJS,1.0
2024000620,2024-05-31 03:01:20.410,P,RIY,1.0
2024000620,2024-05-31 03:01:25.310,S,RIY,1.0
2024000620,2024-05-31 03:01:25.330,P,BOJS,1.0
2024000620,2024-05-31 03:01:26.530,P,SAVD,1.0
2024000620,2024-05-31 03:01:32.060,P,DOBS,1.0
2024000620,2024-05-31 03:01:36.770,S,SAVD,1.0
2024000620,2024-05-31 03:01:44.450,S,DOBS,1.0
2024000622,2024-06-01 01:53:41.160,P,FUOR,1.0
2024000629,2024-06-04 07:54:36.350,P,REP0,1.0
2024000629,2024-06-04 07:54:40.240,S,REP0,1.0
2024000641,2024-06-07 10:55:33.550,P,FUOR,1.0
2024000645,2024-06-09 02:48:14.830,P,RIY,1.0
2024000645,2024-06-09 02:48:18.150,S,RIY,1.0
2024000645,2024-06-09 02:48:19.020,P,REP0,1.0
2024000645,2024-06-09 02:48:21.780,P,SAVD,1.0
2024000645,2024-06-09 02:48:22.440,P,BOJS,1.0
2024000645,2024-06-09 02:48:26.260,S,REP0,1.0
2024000645,2024-06-09 02:48:30.150,P,DOBS,1.0
2024000646,2024-06-10 00:37:07.890,P,SAVD,1.0
2024000649,2024-06-11 01:38:10.270,P,FUOR,1.0
2024000649,2024-06-11 01:38:12.540,S,FUOR,1.0
2024000649,2024-06-11 01:38:16.560,P,DAVO,1.0
2024000649,2024-06-11 01:38:21.910,S,DAVO,1.0
2024000650,2024-06-11 02:59:42.200,P,RIY,1.0
2024000650,2024-06-11 02:59:44.970,S,RIY,1.0
2024000661,2024-06-15 18:40:20.450,P,REP0,1.0
2024000661,2024-06-15 18:40:26.150,P,SAVD,1.0
2024000661,2024-06-15 18:40:32.820,S,SAVD,1.0
2024000664,2024-06-16 03:11:01.480,P,FUOR,1.0
2024000665,2024-06-16 04:14:10.050,P,FUOR,1.0
2024000665,2024-06-16 04:14:11.600,S,FUOR,1.0
2024000671,2024-06-20 02:32:21.150,P,SOKA,1.0
2024000671,2024-06-20 02:32:25.500,P,SAVD,1.0
2024000671,2024-06-20 02:32:30.000,S,SOKA,1.0
2024000673,2024-06-20 13:38:50.910,P,BERN,1.0
2024000673,2024-06-20 13:38:52.680,S,BERN,1.0
2024000674,2024-06-20 13:40:11.040,P,BERN,1.0
2024000674,2024-06-20 13:40:12.070,P,FUOR,1.0
2024000674,2024-06-20 13:40:12.910,S,BERN,1.0
2024000678,2024-06-20 20:48:19.480,P,BERN,1.0
2024000678,2024-06-20 20:48:29.740,S,BERN,1.0
