index,time,phase,station,probability
"(2024000265, 4014)","('2024-03-22T03:10:38.030000Z', '2024-03-22T03:10:37.790000Z')","('S', 'P')",JAVS,"(1.0, 0.29626808)"
"(2024000327, 3128)","('2024-03-28T20:11:38.410000Z', '2024-03-28T20:11:38.440000Z')","('S', 'P')",TLI,"(1.0, 0.62771547)"
"(2024000604, 12255)","('2024-05-28T11:06:15.860000Z', '2024-05-28T11:06:15.830000Z')","('S', 'P')",LUSI,"(1.0, 0.24437979)"
"(2024000613, 12594)","('2024-05-30T01:38:50.300000Z', '2024-05-30T01:38:50.590000Z')","('S', 'P')",VINO,"(1.0, 0.41006586)"
