NETWORK,station,LOC_NAME,CHANNEL,DATE,FILENAME
IV,PRMA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.PRMA..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,SBPO,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.SBPO..HNE__20240320T000000Z__20240321T000000Z.mseed
OX,CLUD,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CLUD..HHN__20240320T021650Z__20240320T021850Z.mseed
IV,MSSA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MSSA..HHN__20240320T000000Z__20240321T000000Z.mseed
SI,LUSI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.LUSI..HHE__20240320T101723Z__20240320T101923Z.mseed
CH,SVAM,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SVAM..HGN__20240320T000000Z__20240321T000000Z.mseed
IV,BAG8,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BAG8..EHZ__20240320T000000Z__20240321T000000Z.mseed
IV,CRND,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CRND..HNZ__20240320T000000Z__20240321T000000Z.mseed
OE,MOTA,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.MOTA..HHE__20240320T000000Z__20240321T000000Z.mseed
IV,MBAL,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MBAL..HHE__20240320T000000Z__20240321T000000Z.mseed
SL,GBRS,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.GBRS..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,ZOU,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.ZOU..EHZ__20240320T000000Z__20240321T000000Z.mseed
IV,ZOVE,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.ZOVE..EHN__20240320T000000Z__20240321T000000Z.mseed
ZO,PDN3,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ZO.PDN3..EHE__20240320T000000Z__20240321T000000Z.mseed
SL,VOJS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.VOJS..HHE__20240320T000000Z__20240321T000000Z.mseed
SL,JAVS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.JAVS..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,GARG,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.GARG..EHE__20240320T101733Z__20240320T101933Z.mseed
SL,MOZS,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.MOZS..HHZ__20240320T000000Z__20240321T000000Z.mseed
CH,DAVOX,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.DAVOX..HHE__20240320T000000Z__20240321T000000Z.mseed
4P,IT08A,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/4P.IT08A..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,GAVI,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.GAVI..EHN__20240320T000000Z__20240321T000000Z.mseed
ST,GAGG,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.GAGG..HHZ__20240320T000000Z__20240321T000000Z.mseed
SI,MOSI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.MOSI..HHZ__20240320T000000Z__20240321T000000Z.mseed
RF,GORI,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.GORI..HNZ__20240320T000000Z__20240321T000000Z.mseed
IV,MTRZ,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MTRZ..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,TEOL,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.TEOL..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,BALD,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.BALD..HHE__20240320T101719Z__20240320T101919Z.mseed
IV,FREG,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.FREG..EHE__20240320T000000Z__20240321T000000Z.mseed
RF,PAUL,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.PAUL..HNE__20240320T000000Z__20240321T000000Z.mseed
OX,MLN,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MLN..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,CSM,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CSM..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,COLI,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.COLI..EHN__20240320T000000Z__20240321T000000Z.mseed
SL,CEY,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.CEY..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,MGBU,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MGBU..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,TLI,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.TLI..EHZ__20240320T000000Z__20240321T000000Z.mseed
CH,STSP,,HGE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.STSP..HGE__20240320T000000Z__20240321T000000Z.mseed
ST,DOSS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ST.DOSS..HHE__20240320T000000Z__20240321T000000Z.mseed
CH,SCUC,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SCUC..HGN__20240320T000000Z__20240321T000000Z.mseed
IV,IMOL,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.IMOL..EHZ__20240320T000000Z__20240321T000000Z.mseed
IV,CNCS,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CNCS..EHE__20240320T000000Z__20240321T000000Z.mseed
CH,SMFL,,HGN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SMFL..HGN__20240320T000000Z__20240321T000000Z.mseed
IV,CTI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CTI..HHE__20240320T000000Z__20240321T000000Z.mseed
SL,GORS,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.GORS..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,PRED,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.PRED..HHN__20240320T000000Z__20240321T000000Z.mseed
ZO,PDN7,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/ZO.PDN7..EHN__20240320T000000Z__20240321T000000Z.mseed
IV,MAGA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MAGA..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,TREG,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.TREG..EHN__20240320T000000Z__20240321T000000Z.mseed
OX,APGO,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.APGO..EHE__20240320T000000Z__20240321T000000Z.mseed
OX,CIMO,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.CIMO..HHN__20240320T021654Z__20240320T021854Z.mseed
IV,CTL8,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.CTL8..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,APPI,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.APPI..EHZ__20240320T000000Z__20240321T000000Z.mseed
SL,VOJS,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.VOJS..HHN__20240320T224725Z__20240320T224925Z.mseed
OE,WATA,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.WATA..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,MABI,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.MABI..HHN__20240320T000000Z__20240321T000000Z.mseed
SL,GBAS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.GBAS..HHE__20240320T224723Z__20240320T224923Z.mseed
RF,CESC,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.CESC..HNN__20240320T000000Z__20240321T000000Z.mseed
IV,BRMO,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.BRMO..HHE__20240320T102346Z__20240320T102546Z.mseed
OE,MYKA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.MYKA..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,BUA,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.BUA..EHE__20240320T000000Z__20240321T000000Z.mseed
HA,INVI,,HNZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/HA.INVI..HNZ__20240320T000000Z__20240321T000000Z.mseed
OE,SQTA,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.SQTA..HHZ__20240320T000000Z__20240321T000000Z.mseed
IV,FIU,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.FIU..EHZ__20240320T000000Z__20240321T000000Z.mseed
SL,JAVS,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.JAVS..HHN__20240320T224717Z__20240320T224917Z.mseed
IV,SANR,,EHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.SANR..EHN__20240320T000000Z__20240321T000000Z.mseed
SL,KNDS,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.KNDS..HHE__20240320T224726Z__20240320T224926Z.mseed
OE,DAVA,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.DAVA..HHE__20240320T000000Z__20240321T000000Z.mseed
SI,ABSI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.ABSI..HHZ__20240320T000000Z__20240321T000000Z.mseed
OX,GARG,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.GARG..EHZ__20240320T101719Z__20240320T101919Z.mseed
MN,TRI,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/MN.TRI..HHE__20240320T000000Z__20240321T000000Z.mseed
NI,PURA,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/NI.PURA..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,BALD,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.BALD..HHN__20240320T000000Z__20240321T000000Z.mseed
RF,CARC,,HNN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.CARC..HNN__20240320T000000Z__20240321T000000Z.mseed
IV,FVI,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.FVI..HHN__20240320T000000Z__20240321T000000Z.mseed
RF,GEDE,,HNE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.GEDE..HNE__20240320T000000Z__20240321T000000Z.mseed
IV,VOBA,,EHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.VOBA..EHZ__20240320T000000Z__20240321T000000Z.mseed
RF,MONF,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/RF.MONF..HHN__20240320T000000Z__20240321T000000Z.mseed
IV,FVI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/IV.FVI..HHZ__20240320T021654Z__20240320T021854Z.mseed
SL,PDKS,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SL.PDKS..HHZ__20240320T000000Z__20240321T000000Z.mseed
NI,PALA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/NI.PALA..HHN__20240320T000000Z__20240321T000000Z.mseed
OX,MPRI,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.MPRI..HHN__20240320T000000Z__20240321T000000Z.mseed
CH,SCUG,,HGE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/CH.SCUG..HGE__20240320T000000Z__20240321T000000Z.mseed
SI,LUSI,,HHZ,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/SI.LUSI..HHZ__20240320T000000Z__20240321T000000Z.mseed
OE,WTTA,,HHN,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.WTTA..HHN__20240320T000000Z__20240321T000000Z.mseed
OE,ABTA,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OE.ABTA..HHE__20240320T000000Z__20240321T000000Z.mseed
OX,GAVI,,EHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/OX.GAVI..EHE__20240320T101740Z__20240320T101940Z.mseed
2Y,A303A,,HHE,2024-03-20,/Volumes/Expansion/KEN/waveforms/2024/03/20/2Y.A303A..HHE__20240320T000000Z__20240321T000000Z.mseed
