NETWORK,station,LOC_NAME,CHANNEL,DATE,FILENAME
4P,IT09A,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/4P.IT09A..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,BOO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BOO..HHZ__20240426T044515Z__20240426T044715Z.mseed
CH,SARD,,HGN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SARD..HGN__20240426T000000Z__20240427T000000Z.mseed
RF,GEPF,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/RF.GEPF..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,PRED,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PRED..HHZ__20240426T044513Z__20240426T044713Z.mseed
4P,IT07A,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/4P.IT07A..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,VARN,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.VARN..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,BOO,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BOO..HHE__20240426T044513Z__20240426T044713Z.mseed
NI,DST2,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.DST2..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,ACOM,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.ACOM..HHE__20240426T044513Z__20240426T044713Z.mseed
IV,ZCCA,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ZCCA..HHN__20240426T000000Z__20240427T000000Z.mseed
SI,ROSI,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SI.ROSI..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,MARN,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.MARN..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,LSR,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.LSR..EHE__20240426T164505Z__20240426T164705Z.mseed
CH,FUORN,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.FUORN..HHZ__20240426T000000Z__20240427T000000Z.mseed
CH,SBGN,,HGN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SBGN..HGN__20240426T000000Z__20240427T000000Z.mseed
IV,ERBM,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ERBM..EHE__20240426T000000Z__20240427T000000Z.mseed
SL,ROBS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.ROBS..HHE__20240426T044513Z__20240426T044713Z.mseed
NI,VINO,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,VENL,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.VENL..EHN__20240426T000000Z__20240427T000000Z.mseed
IV,PRMA,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.PRMA..HHN__20240426T000000Z__20240427T000000Z.mseed
IV,SGAL,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SGAL..EHN__20240426T000000Z__20240427T000000Z.mseed
OX,PRED,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PRED..HHE__20240426T164503Z__20240426T164703Z.mseed
SL,KNDS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.KNDS..HHN__20240426T000000Z__20240427T000000Z.mseed
SL,CADS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CADS..HHE__20240426T082828Z__20240426T083028Z.mseed
OE,LESA,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.LESA..HHZ__20240426T000000Z__20240427T000000Z.mseed
IV,MDI,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MDI..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,PLRO,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PLRO..HHN__20240426T000000Z__20240427T000000Z.mseed
SL,LJU,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.LJU..HHN__20240426T000000Z__20240427T000000Z.mseed
SL,CADS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CADS..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,ACOM,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.ACOM..HHZ__20240426T164503Z__20240426T164703Z.mseed
OX,PLRO,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PLRO..HHE__20240426T044516Z__20240426T044716Z.mseed
CH,SDAK,,HGZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SDAK..HGZ__20240426T000000Z__20240427T000000Z.mseed
CH,SZER,,HGE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SZER..HGE__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN13,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN13..EHN__20240426T000000Z__20240427T000000Z.mseed
IV,CAVE,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CAVE..HHZ__20240426T000000Z__20240427T000000Z.mseed
IV,OPPE,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.OPPE..HHN__20240426T000000Z__20240427T000000Z.mseed
ST,ZIAN,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.ZIAN..EHZ__20240426T000000Z__20240427T000000Z.mseed
OX,BAD,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BAD..HHN__20240426T044516Z__20240426T044716Z.mseed
OX,CLUD,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.CLUD..HHN__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN2,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN2..EHN__20240426T000000Z__20240427T000000Z.mseed
OX,ACOM,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.ACOM..HHE__20240426T164505Z__20240426T164705Z.mseed
SL,SKDS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.SKDS..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,ORZI,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ORZI..HHN__20240426T000000Z__20240427T000000Z.mseed
IV,SAL,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SAL..EHN__20240426T000000Z__20240427T000000Z.mseed
OX,LSR,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.LSR..EHE__20240426T044513Z__20240426T044713Z.mseed
ST,CARE,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.CARE..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,PTCC,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.PTCC..HHE__20240426T164505Z__20240426T164705Z.mseed
IV,MNTV,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MNTV..EHN__20240426T000000Z__20240427T000000Z.mseed
IV,SERM,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SERM..EHZ__20240426T000000Z__20240427T000000Z.mseed
OX,BAD,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BAD..HHE__20240426T000000Z__20240427T000000Z.mseed
ST,DOSS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.DOSS..HHE__20240426T000000Z__20240427T000000Z.mseed
CH,STSP,,HGE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.STSP..HGE__20240426T000000Z__20240427T000000Z.mseed
CH,SCUC,,HGN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SCUC..HGN__20240426T000000Z__20240427T000000Z.mseed
IV,CNCS,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CNCS..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,IMOL,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.IMOL..EHZ__20240426T000000Z__20240427T000000Z.mseed
OX,PLRO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PLRO..HHZ__20240426T044513Z__20240426T044713Z.mseed
SL,CEY,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CEY..HHZ__20240426T000000Z__20240427T000000Z.mseed
OE,MYKA,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.MYKA..HHZ__20240426T164506Z__20240426T164706Z.mseed
SL,GORS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GORS..HHN__20240426T082831Z__20240426T083031Z.mseed
IV,MTRZ,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MTRZ..HHZ__20240426T000000Z__20240427T000000Z.mseed
IV,TEOL,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.TEOL..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,FREG,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.FREG..EHE__20240426T000000Z__20240427T000000Z.mseed
OX,MLN,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.MLN..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,SABO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.SABO..HHZ__20240426T082826Z__20240426T083026Z.mseed
ST,GAGG,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.GAGG..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,COLI,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.COLI..EHN__20240426T082828Z__20240426T083028Z.mseed
SL,GORS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GORS..HHN__20240426T164506Z__20240426T164706Z.mseed
SI,MOSI,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SI.MOSI..HHZ__20240426T000000Z__20240427T000000Z.mseed
SL,MOZS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.MOZS..HHZ__20240426T000000Z__20240427T000000Z.mseed
CH,DAVOX,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.DAVOX..HHE__20240426T000000Z__20240427T000000Z.mseed
4P,IT08A,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/4P.IT08A..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,MBAL,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MBAL..HHE__20240426T000000Z__20240427T000000Z.mseed
SL,GBRS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GBRS..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,LSR,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.LSR..EHZ__20240426T044516Z__20240426T044716Z.mseed
ZO,PDN3,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN3..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,ZOVE,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ZOVE..EHN__20240426T000000Z__20240427T000000Z.mseed
SL,VOJS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.VOJS..HHE__20240426T000000Z__20240427T000000Z.mseed
SL,JAVS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.JAVS..HHE__20240426T000000Z__20240427T000000Z.mseed
CH,SVAM,,HGN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SVAM..HGN__20240426T000000Z__20240427T000000Z.mseed
IV,BAG8,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.BAG8..EHZ__20240426T000000Z__20240427T000000Z.mseed
IV,CRND,,HNZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CRND..HNZ__20240426T000000Z__20240427T000000Z.mseed
SL,ROBS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.ROBS..HHZ__20240426T082829Z__20240426T083029Z.mseed
NI,VINO,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHN__20240426T044515Z__20240426T044715Z.mseed
OE,MOTA,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.MOTA..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,SBPO,,HNE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SBPO..HNE__20240426T000000Z__20240427T000000Z.mseed
IV,MSSA,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MSSA..HHN__20240426T000000Z__20240427T000000Z.mseed
NI,VINO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHZ__20240426T044512Z__20240426T044712Z.mseed
SL,MOZS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.MOZS..HHN__20240426T000000Z__20240427T000000Z.mseed
GU,GSCL,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/GU.GSCL..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,BAD,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BAD..HHE__20240426T044513Z__20240426T044713Z.mseed
SL,GORS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GORS..HHE__20240426T082837Z__20240426T083037Z.mseed
IV,ZOVE,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ZOVE..EHZ__20240426T000000Z__20240427T000000Z.mseed
SL,VNDS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.VNDS..HHE__20240426T000000Z__20240427T000000Z.mseed
SL,GBRS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GBRS..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,LSR,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.LSR..EHN__20240426T044516Z__20240426T044716Z.mseed
SL,ROBS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.ROBS..HHN__20240426T082829Z__20240426T083029Z.mseed
NI,VINO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHZ__20240426T044515Z__20240426T044715Z.mseed
CH,SVAM,,HGZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SVAM..HGZ__20240426T000000Z__20240427T000000Z.mseed
SL,ROBS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.ROBS..HHE__20240426T044517Z__20240426T044717Z.mseed
IV,BAG8,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.BAG8..EHN__20240426T000000Z__20240427T000000Z.mseed
IV,CRND,,HNN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CRND..HNN__20240426T000000Z__20240427T000000Z.mseed
IV,MSSA,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MSSA..HHZ__20240426T000000Z__20240427T000000Z.mseed
NI,VINO,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHN__20240426T044512Z__20240426T044712Z.mseed
OX,SABO,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.SABO..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,IMOL,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.IMOL..EHN__20240426T000000Z__20240427T000000Z.mseed
CH,SCUC,,HGZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SCUC..HGZ__20240426T000000Z__20240427T000000Z.mseed
IV,ZEN8,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ZEN8..EHE__20240426T000000Z__20240427T000000Z.mseed
SL,GORS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GORS..HHZ__20240426T082831Z__20240426T083031Z.mseed
OE,MYKA,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.MYKA..HHN__20240426T164506Z__20240426T164706Z.mseed
OE,FETA,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.FETA..HHE__20240426T000000Z__20240427T000000Z.mseed
SL,CEY,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CEY..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,PLRO,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PLRO..HHN__20240426T044513Z__20240426T044713Z.mseed
ST,OZOL,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.OZOL..EHE__20240426T000000Z__20240427T000000Z.mseed
OX,MLN,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.MLN..HHN__20240426T000000Z__20240427T000000Z.mseed
IV,MTRZ,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MTRZ..HHN__20240426T000000Z__20240427T000000Z.mseed
ST,PANI,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.PANI..EHE__20240426T000000Z__20240427T000000Z.mseed
OX,CAE,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.CAE..HHE__20240426T000000Z__20240427T000000Z.mseed
ST,GAGG,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.GAGG..HHN__20240426T000000Z__20240427T000000Z.mseed
SL,GORS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GORS..HHZ__20240426T164506Z__20240426T164706Z.mseed
SI,MOSI,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SI.MOSI..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,COLI,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.COLI..EHZ__20240426T082828Z__20240426T083028Z.mseed
SL,GBAS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.GBAS..HHE__20240426T000000Z__20240427T000000Z.mseed
SL,ROBS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.ROBS..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,SABO,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.SABO..HHN__20240426T082826Z__20240426T083026Z.mseed
NI,POLC,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.POLC..HHE__20240426T000000Z__20240427T000000Z.mseed
IV,CADC,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CADC..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,CAVE,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.CAVE..HHN__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN13,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN13..EHZ__20240426T000000Z__20240427T000000Z.mseed
IV,OPPE,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.OPPE..HHZ__20240426T000000Z__20240427T000000Z.mseed
CH,SCEL,,HGE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SCEL..HGE__20240426T000000Z__20240427T000000Z.mseed
CH,SDAK,,HGN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SDAK..HGN__20240426T000000Z__20240427T000000Z.mseed
SI,KOSI,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SI.KOSI..HHE__20240426T000000Z__20240427T000000Z.mseed
ST,ZIAN,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ST.ZIAN..EHN__20240426T000000Z__20240427T000000Z.mseed
OX,CLUD,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.CLUD..HHZ__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN2,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN2..EHZ__20240426T000000Z__20240427T000000Z.mseed
OX,BAD,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.BAD..HHZ__20240426T044516Z__20240426T044716Z.mseed
IV,SERM,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SERM..EHN__20240426T000000Z__20240427T000000Z.mseed
IV,MNTV,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.MNTV..EHZ__20240426T000000Z__20240427T000000Z.mseed
IV,SAL,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SAL..EHZ__20240426T000000Z__20240427T000000Z.mseed
IV,ORZI,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ORZI..HHZ__20240426T000000Z__20240427T000000Z.mseed
IV,PRMA,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.PRMA..HHZ__20240426T000000Z__20240427T000000Z.mseed
CH,STRW,,HGE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.STRW..HGE__20240426T000000Z__20240427T000000Z.mseed
IV,VENL,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.VENL..EHZ__20240426T000000Z__20240427T000000Z.mseed
OX,PRED,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PRED..HHE__20240426T164504Z__20240426T164704Z.mseed
SL,KNDS,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.KNDS..HHZ__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN10,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN10..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,FERS,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.FERS..EHE__20240426T000000Z__20240427T000000Z.mseed
IV,SGAL,,EHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.SGAL..EHZ__20240426T000000Z__20240427T000000Z.mseed
OE,MYKA,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.MYKA..HHE__20240426T164504Z__20240426T164704Z.mseed
SL,LJU,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.LJU..HHZ__20240426T000000Z__20240427T000000Z.mseed
OX,PLRO,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PLRO..HHZ__20240426T000000Z__20240427T000000Z.mseed
OE,LESA,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OE.LESA..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,ACOM,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.ACOM..HHN__20240426T164503Z__20240426T164703Z.mseed
4P,IT07A,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/4P.IT07A..HHZ__20240426T000000Z__20240427T000000Z.mseed
CH,SARD,,HGZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SARD..HGZ__20240426T000000Z__20240427T000000Z.mseed
CH,SHEK,,HGE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SHEK..HGE__20240426T000000Z__20240427T000000Z.mseed
RF,GEPF,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/RF.GEPF..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,PRED,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.PRED..HHN__20240426T044513Z__20240426T044713Z.mseed
SL,CADS,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CADS..HHE__20240426T082831Z__20240426T083031Z.mseed
IV,STAL,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.STAL..HHE__20240426T000000Z__20240427T000000Z.mseed
OX,VARN,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.VARN..HHN__20240426T000000Z__20240427T000000Z.mseed
IV,ZCCA,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.ZCCA..HHZ__20240426T000000Z__20240427T000000Z.mseed
NI,DST2,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.DST2..HHZ__20240426T000000Z__20240427T000000Z.mseed
NI,VINO,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/NI.VINO..HHE__20240426T082831Z__20240426T083031Z.mseed
IV,NDIM,,HHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/IV.NDIM..HHE__20240426T000000Z__20240427T000000Z.mseed
CH,SBGN,,HGZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.SBGN..HGZ__20240426T000000Z__20240427T000000Z.mseed
CH,FUORN,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/CH.FUORN..HHN__20240426T000000Z__20240427T000000Z.mseed
OX,MARN,,HHZ,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/OX.MARN..HHZ__20240426T000000Z__20240427T000000Z.mseed
S,KSCHR,,EHE,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/S.KSCHR..EHE__20240426T000000Z__20240427T000000Z.mseed
SL,CRNS,,HHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/SL.CRNS..HHN__20240426T000000Z__20240427T000000Z.mseed
ZO,PDN8,,EHN,2024-04-26,/Volumes/Expansion/KEN/waveforms/2024/04/26/ZO.PDN8..EHN__20240426T000000Z__20240427T000000Z.mseed
