idx_in_group,time,latitude,longitude,depth,azimuthal_gap,min_distance,vertical_uncertainty,number_picks,number_picks_nll,std_nll,max_horizontal_uncertainty,min_horizontal_uncertainty,group,magnitude,gamma_sigma_time,gamma_sigma_amp,gamma_cov_time_amp,gamma_score,number_p_picks,number_s_picks,number_p_and_s_picks,ML,ML_median,ML_unc,ML_stations,idx
1,2024-03-20 22:48:14.061245+00:00,45.827486,14.162146,15.503906,113.691,10.5718,3.674411095672339,16,16,0.265759,1.72196,1.40652,2024-03-20,999,0.25625618054025134,0,0,16.0,8,8,7,0.18838154665929283,0.20662545824398926,0.06741565703949408,7,10
6,2024-03-21 02:43:26.510429+00:00,46.05812,10.603672,6.622656,50.6849,6.94886,3.0417140069375357,34,34,0.490879,1.29039,1.15399,2024-03-21,999,0.35998936768417156,0,0,36.0,18,16,15,0.8646628822767177,0.8111333943440011,0.08637411332738198,15,11
5,2024-03-21 08:00:19.927069+00:00,46.68973,10.5192,13.398437,131.963,8.47588,4.632547225879084,10,10,0.236746,4.39645,2.67318,2024-03-21,999,0.24086975074046604,0,0,10.0,6,4,4,0.7006543551833216,0.669142395991684,0.16055414670983556,4,12
4,2024-03-21 11:08:10.556943+00:00,46.184863,11.204472,6.890625,94.864,18.026,7.668708757020311,8,8,0.100673,1.74144,1.28118,2024-03-21,999,0.06746183705309938,0,0,8.0,5,3,3,0.7149734119781659,0.6891930822436043,0.0727051025788958,3,13
8,2024-03-21 16:08:14.705352+00:00,45.909237,14.24621,7.617969,96.8686,14.2485,6.788998747974549,12,12,0.214065,1.7191,1.22348,2024-03-21,999,0.5880986492874466,0,0,12.0,6,6,6,0.5012123244912223,0.49037234659842177,0.03769146954935544,6,14
0,2024-03-21 17:38:53.299122+00:00,45.973039,14.687083,3.751563,170.31,19.401,10.324231787401908,6,6,0.241512,14.6592,7.09547,2024-03-21,999,0.06736883903640818,0,0,6.0,3,3,3,-0.2655613820389511,-0.2655613820389511,0.19137602192343284,2,15
1,2024-03-21 18:40:04.491256+00:00,46.063401,14.942364,8.957813,149.434,4.29815,4.174613538999748,15,15,0.340486,3.70956,2.00335,2024-03-21,999,0.38743159139719285,0,0,15.0,9,6,6,0.6018579582688575,0.616914551547056,0.0973240720165116,5,16
7,2024-03-21 22:11:13.413033+00:00,46.25066,13.543672,11.063281,95.1034,2.73341,3.701007835711781,14,14,0.14402,1.42815,0.866716,2024-03-21,999,0.1269761564392859,0,0,14.0,7,7,7,0.1874856082654971,0.11164897802046403,0.1409788670765281,6,17
2,2024-03-22 00:15:51.039691+00:00,44.600331,10.718946,32.921875,269.597,12.8198,9.697144476597222,7,7,0.263459,14.3051,6.22931,2024-03-22,999,0.29621052202282094,0,0,6.717049521035603,4,3,3,1.2640697961996765,1.3140401315231203,0.3297046332845244,3,18
4,2024-03-22 02:30:41.633804+00:00,46.054873,14.088754,11.790625,176.926,13.6768,8.91973155425655,7,7,0.196836,5.25701,1.43549,2024-03-22,999,0.09718084698024469,0,0,7.0,4,3,3,-0.29939062724423526,-0.29939062724423526,0.07008652628071599,2,19
9,2024-03-22 03:10:21.076073+00:00,46.209212,13.54214,13.149609,61.7748,4.67088,1.4998837788308799,86,86,0.28918,0.747771,0.589414,2024-03-22,999,0.40236730439130847,0,0,90.03591500717852,46,40,36,1.2559962971788678,1.205199550357167,0.055049911245766726,35,20
11,2024-03-22 05:22:29.051296+00:00,46.169829,12.366301,48.923438,88.7341,18.7261,6.257545685011016,16,16,0.469122,6.00747,4.39349,2024-03-22,999,0.8039540343747978,0,0,20.7161416407386,7,9,3,1.624003514474967,1.6459685284326775,0.0872303427574694,3,21
12,2024-03-22 05:22:29.293646+00:00,46.102406,13.196867,40.578125,184.809,14.3277,7.013597507698885,31,31,0.679404,6.78735,4.3701,2024-03-22,999,0.8507852065401166,0,0,34.03995780273506,19,12,9,1.6994894606742978,1.6727365004666708,0.06115336370110022,9,22
0,2024-03-22 05:39:17.360588+00:00,44.665131,10.119593,22.892188,221.773,18.8475,9.607875155308795,6,6,0.0864238,9.00459,7.14312,2024-03-22,999,0.057614813568028556,0,0,6.0,3,3,3,2.4664625610911535,2.4664625610911535,0.07836204520068302,2,23
7,2024-03-22 10:50:04.889247+00:00,45.954481,13.661489,3.598438,209.878,4.26075,3.744059695036926,10,10,0.205771,4.28488,2.51695,2024-03-22,999,0.6514980739402606,0,0,9.993604440925754,6,4,4,0.5262440812931591,0.5409387913524022,0.05490510639603369,3,24
3,2024-03-23 01:47:37.168848+00:00,45.959719,10.529274,2.182031,122.138,7.08649,2.725015229315242,11,11,0.0726499,3.06098,0.708306,2024-03-23,999,0.2074106987314993,0,0,12.0,6,5,5,0.6884632744409178,0.5776710940280283,0.19949507796996757,4,25
4,2024-03-23 01:47:48.849347+00:00,45.899053,10.668054,2.105469,213.822,9.67911,4.653826726469304,7,7,0.0862684,2.0559,1.31662,2024-03-23,999,0.3879398800263948,0,0,7.0,3,4,3,,,,0,26
6,2024-03-23 02:36:12.150245+00:00,45.781114,14.176927,1.071875,291.2,19.6977,12.77297279414624,6,6,0.162538,35.0304,13.1219,2024-03-23,999,0.7127150041707548,0,0,6.627429778956658,3,3,3,-0.10010992605263525,-0.10010992605263525,0.02366767977133133,2,27
8,2024-03-23 03:17:55.493353+00:00,46.94266,11.453344,12.173438,150.134,3.55447,2.9073268994043304,31,31,0.533013,3.30942,1.53905,2024-03-23,999,0.39844905340454884,0,0,31.0,19,12,12,0.9956564727368798,0.9662949962249741,0.10039761593050062,12,28
5,2024-03-23 11:32:28.407971+00:00,45.895438,14.251665,7.65625,96.0,14.5666,4.96277063745646,12,12,0.234546,2.19871,1.28082,2024-03-23,999,0.42846605287789824,0,0,12.0,8,4,3,0.5070528017856828,0.46821192288238556,0.06262584536843374,3,29
9,2024-03-24 01:21:48.448634+00:00,45.716514,10.768228,0.076563,165.52,7.3729,3.8811177256043132,6,6,0.0506749,4.04818,1.3873,2024-03-24,999,0.04754474945334425,0,0,6.0,3,3,3,0.30477190708463364,0.30477190708463364,0.005625705327948816,2,30
13,2024-03-24 01:27:47.239862+00:00,45.931509,11.381327,9.570313,127.305,15.9996,6.805694894718687,12,12,0.286894,3.09878,1.19391,2024-03-24,999,0.18071439737909165,0,0,12.0,6,6,6,0.6503497422050302,0.6469584672000086,0.014919189776174836,4,31
10,2024-03-24 05:25:26.754982+00:00,46.615234,13.716804,11.560937,196.515,5.99366,3.5721928419389677,25,25,0.266308,2.46465,2.02078,2024-03-24,999,0.20330625288235174,0,0,25.0,13,12,12,0.7204869829686917,0.6994111814563986,0.05614330964015401,10,32
3,2024-03-24 06:48:39.544954+00:00,46.043299,14.360497,14.278906,63.188,8.7439,2.363825776151872,34,34,0.389411,1.30538,1.11456,2024-03-24,999,0.36217521223136406,0,0,34.0,20,14,14,0.960684587702513,0.9504585112534569,0.059200183029427464,13,33
8,2024-03-24 09:21:58.651192+00:00,45.349667,14.638042,6.584375,252.553,24.295,7.545038369683748,49,49,0.851514,8.54769,3.34448,2024-03-24,999,0.6097077587568532,0,0,52.0,41,8,8,3.3745763248250924,3.3748344161995636,0.06683217018258698,7,34
0,2024-03-24 09:31:24.021078+00:00,45.326819,14.640746,12.403125,266.478,26.343,9.507563778381925,12,12,0.342951,9.58826,3.80222,2024-03-24,999,0.4841289771565525,0,0,12.770364435501234,8,4,4,0.8849598114599967,0.8858514250972982,0.066264433697128,4,35
6,2024-03-24 16:39:48.906671+00:00,46.072023,14.860328,0.880469,171.378,10.7196,4.837440325213325,6,6,0.0622525,4.68492,3.00603,2024-03-24,999,0.02668823473686644,0,0,6.0,3,3,3,-0.06496476813921992,-0.06496476813921992,0.009442124023919418,2,36
12,2024-03-24 18:11:30.012425+00:00,46.418041,13.000534,14.068359,59.1746,0.429525,1.6111112934865797,37,37,0.221384,1.04519,0.756355,2024-03-24,999,0.18502779614856132,0,0,39.0,19,18,18,0.578559126412965,0.6030164706319717,0.05654492766988923,16,37
7,2024-03-24 22:33:37.348835+00:00,46.096014,14.779132,7.541406,152.355,6.05484,2.882365608315503,22,22,0.336155,2.01593,1.36883,2024-03-24,999,0.2487318202791835,0,0,23.0,13,9,9,0.5908121683334273,0.5158058213586182,0.11685458378053994,8,38
20,2024-03-24 23:43:29.862272+00:00,46.278408,12.737805,5.033984,62.3219,2.52609,2.140934165265247,66,66,0.327591,0.799378,0.579915,2024-03-24,999,0.5181937461842715,0,0,73.52285568137744,34,32,31,1.01697203667636,0.9696038788400904,0.05601936557418544,28,39
4,2024-03-25 00:11:26.031497+00:00,46.175463,14.332757,10.948437,101.235,11.9133,4.734180414813107,13,13,0.336643,2.44184,1.75821,2024-03-25,999,0.23431743766554383,0,0,13.0,6,7,5,0.19184807328051118,0.22098478481039763,0.10576286933286064,4,40
20,2024-03-25 00:49:33.448767+00:00,46.067178,14.42188,10.527344,76.1252,8.61439,2.2529585659749713,39,39,0.35679,1.35628,0.973069,2024-03-25,999,0.33551618572498654,0,0,39.0,21,18,18,0.6122867722047437,0.5320026951862209,0.04969354555590221,15,41
23,2024-03-25 00:52:03.372389+00:00,45.255833,14.674861,13.78125,283.172,32.4411,11.555045348245068,12,12,0.443861,8.49869,4.57404,2024-03-25,999,0.4909640789346702,0,0,11.67163920601416,7,5,5,0.5435772530458223,0.5242811437916188,0.056666331252735395,5,42
7,2024-03-25 01:34:23.932095+00:00,45.835948,14.262852,1.646094,161.331,16.5096,7.029986201977924,6,6,0.0992399,6.14242,2.98661,2024-03-25,999,0.09274058746396938,0,0,6.0,3,3,3,-0.2696886914163958,-0.2640934734325482,0.11970468937188045,3,43
28,2024-03-25 02:34:56.345389+00:00,45.820423,14.256708,11.675781,86.6652,15.8126,4.246528582265754,19,19,0.320246,1.5173,1.19784,2024-03-25,999,0.3155301555540719,0,0,20.0,10,9,8,0.3419145244552464,0.3462347025068335,0.05275560013370721,8,44
10,2024-03-25 05:23:00.267662+00:00,45.731149,10.785994,0.957031,168.586,6.79884,3.789417765303794,6,6,0.0340546,3.80769,1.65435,2024-03-25,999,0.027838103027999665,0,0,6.0,3,3,3,0.31878562519977016,0.31878562519977016,0.0008571002677962847,2,45
1,2024-03-25 05:32:10.836199+00:00,45.639376,14.223321,9.302344,102.497,17.484,4.243701332563355,29,29,0.331969,1.42124,1.06017,2024-03-25,999,0.40672963319655164,0,0,29.0,17,12,12,1.1349154546408176,1.0897755676600336,0.08488612947036346,12,46
27,2024-03-25 06:01:35.023305+00:00,45.731283,10.788101,2.316016,147.558,5.87238,2.325889141812223,12,12,0.0643396,0.649306,0.497654,2024-03-25,999,0.08106106324876909,0,0,12.0,6,6,6,0.393540245912186,0.4432996170599141,0.08855594122043493,6,47
15,2024-03-25 06:02:14.915169+00:00,45.733169,10.788746,2.048047,150.032,6.04505,2.3536641434155383,12,12,0.083968,0.689164,0.500454,2024-03-25,999,0.08881152097834538,0,0,12.0,6,6,6,0.1339162940288465,0.13964702235404092,0.045323671604310084,6,48
25,2024-03-25 07:04:36.361121+00:00,46.112621,14.303637,9.991406,73.7947,4.83587,2.549572219020281,17,17,0.237464,1.36384,1.08857,2024-03-25,999,0.19276901433823432,0,0,17.0,10,7,7,0.49604124179561815,0.42514171488503316,0.10078603277845218,7,49
3,2024-03-25 07:41:36.085060+00:00,45.652505,14.316891,2.182031,157.131,12.5783,7.075932023415714,6,6,0.0848574,4.22628,3.27154,2024-03-25,999,0.09209180703199787,0,0,6.0,3,3,3,0.02715920861215933,0.020873908767787608,0.009184077778252529,3,50
